BTCUSD:open,BTCUSD:high,BTCUSD:low,BTCUSD:close,BTCUSD:tick_volume,BTCUSD:spread,BTCUSD:real_volume,BTCUSD:weekday,BTCUSD:hour,BTCUSD:minute,BTCUSD:return,BTCUSD:upper_shadow,BTCUSD:lower_shadow,ETHUSD:open,ETHUSD:high,ETHUSD:low,ETHUSD:close,ETHUSD:tick_volume,ETHUSD:spread,ETHUSD:real_volume,ETHUSD:weekday,ETHUSD:hour,ETHUSD:minute,ETHUSD:return,ETHUSD:upper_shadow,ETHUSD:lower_shadow,BCHUSD:open,BCHUSD:high,BCHUSD:low,BCHUSD:close,BCHUSD:tick_volume,BCHUSD:spread,BCHUSD:real_volume,BCHUSD:weekday,BCHUSD:hour,BCHUSD:minute,BCHUSD:return,BCHUSD:upper_shadow,BCHUSD:lower_shadow,LTCUSD:open,LTCUSD:high,LTCUSD:low,LTCUSD:close,LTCUSD:tick_volume,LTCUSD:spread,LTCUSD:real_volume,LTCUSD:weekday,LTCUSD:hour,LTCUSD:minute,LTCUSD:return,LTCUSD:upper_shadow,LTCUSD:lower_shadow,RPLUSD:open,RPLUSD:high,RPLUSD:low,RPLUSD:close,RPLUSD:tick_volume,RPLUSD:spread,RPLUSD:real_volume,RPLUSD:weekday,RPLUSD:hour,RPLUSD:minute,RPLUSD:return,RPLUSD:upper_shadow,RPLUSD:lower_shadow
46896.0,47101.26,46835.53,46987.03,2249,9.11,0,2,0,0,0.0019411037188672,0.0024310964110735,0.0012911138189319,3378.22,3418.53,3373.92,3410.06,3004,4.2,0,2,0,0,0.009425081847837,0.0024838272640364,0.0012744819082846,618.16,633.29,618.16,630.75,768,4.05,0,2,0,0,0.0203668953021871,0.0040269520412207,0.0,168.18,170.93,168.18,170.07,324,3.0,0,2,0,0,0.0112379593292899,0.0050567413418005,0.0,1.1714,1.185,1.1697,1.1779,597,0.003,0,2,0,0,0.0055489158272152,0.0060276763732066,0.0014533641104557
46981.03,47200.5,46912.22,46912.22,3140,11.79,0,2,0,30,-0.0014646337042844,0.0046714599488346,0.0,3410.06,3433.15,3397.59,3398.36,4296,4.2,0,2,0,30,-0.0034310246740526,0.0067711418567415,0.0002266312297834,630.74,634.04,629.43,629.66,899,4.05,0,2,0,30,-0.001712274471256,0.0052319497732821,0.0003654099741035,170.07,171.28,169.08,169.08,443,3.0,0,2,0,30,-0.0058211324748631,0.0071147174692774,0.0,1.1779,1.1903,1.1756,1.1773,1356,0.0036,0,2,0,30,-0.000509381101961,0.0105272094405297,0.001446070091868
46914.65,47013.1,46760.81,46857.08,4257,10.5,0,2,1,0,-0.0012271220183887,0.0020984916225528,0.0020587752863991,3397.58,3409.45,3370.84,3383.61,4927,4.2,0,2,1,0,-0.0041117501280322,0.0034936631367031,0.0037883732244781,629.62,631.06,626.84,628.04,1252,4.05,0,2,1,0,-0.0025094501445316,0.002287093802611,0.001914364112054,169.08,169.69,167.77,168.05,1013,3.0,0,2,1,0,-0.006091790868228,0.0036077596404068,0.0016689515407999,1.1773,1.1804,1.147,1.1568,1434,0.0031,0,2,1,0,-0.0174127240295591,0.0026331436337383,0.0085440278988666
46857.08,47114.02,46755.01,47092.37,3926,10.5,0,2,1,30,0.0050214396629068,0.0004597347723207,0.0021830815563936,3383.61,3413.79,3368.55,3411.11,4910,4.2,0,2,1,30,0.0081274142114487,0.0007856680083608,0.0044707663534755,628.04,632.47,626.38,632.33,1446,4.05,0,2,1,30,0.0068307751098657,0.0002214033811458,0.0026501484721733,168.04,169.32,167.44,169.19,1209,3.0,0,2,1,30,0.0068436086646037,0.0007683669247591,0.0035833731485905,1.1568,1.1731,1.1519,1.1714,1365,0.003,0,2,1,30,0.0126210235131396,0.0014512549086563,0.0042538414792951
47092.37,47257.26,46997.88,47201.51,3587,10.5,0,2,2,0,0.0023175728891962,0.0011811062824049,0.0020105162190295,3411.32,3427.09,3399.03,3423.29,4861,4.04,0,2,2,0,0.0035089056435631,0.0011100432624756,0.0036157374309729,632.38,634.64,630.44,634.34,1542,4.05,0,2,2,0,0.0030994022581359,0.0004729324967682,0.0030772159126958,169.19,169.95,168.67,169.91,1036,3.0,0,2,2,0,0.0042555706602044,0.0002354187511034,0.0030829430248414,1.1714,1.1797,1.1623,1.1763,1422,0.003,0,2,2,0,0.0041830288543622,0.0028904191107711,0.0078293039662736
47201.51,47360.26,47100.13,47106.07,3014,10.5,0,2,2,30,-0.0020219692124256,0.0033632398624535,0.0001261143015953,3423.29,3444.31,3422.65,3428.25,5694,4.16,0,2,2,30,0.0014488985741786,0.0046846058484649,0.0001869896133112,634.35,635.82,633.24,634.75,1105,4.05,0,2,2,30,0.0006305667218412,0.0016857030326901,0.0017528898995641,169.91,170.8,169.86,170.05,1049,3.0,0,2,2,30,0.0008239656288624,0.004410467509556,0.0002943600612267,1.1763,1.1971,1.1763,1.1839,1670,0.003,0,2,2,30,0.0064609368358412,0.0111495903370217,0.0
47106.07,47330.16,46835.49,47048.18,4395,10.5,0,2,3,0,-0.0012289286709759,0.0047571363945241,0.004541214365431,3428.25,3444.18,3397.42,3432.81,5239,4.2,0,2,3,0,0.0013301246991905,0.003312155347951,0.0090745330280035,634.75,636.8,629.71,631.5,2021,4.05,0,2,3,0,-0.0051201260338716,0.0032296179598266,0.0028425783297072,170.05,171.18,168.53,169.26,2083,3.0,0,2,3,0,-0.0046456924433991,0.0066451043810643,0.0043315730137066,1.1839,1.1936,1.1694,1.1839,2531,0.003,0,2,3,0,0.0,0.0081932595658417,0.0123995211219428
47048.18,47063.51,46706.8,46760.8,2869,10.5,0,2,3,30,-0.0061082065236104,0.0003258361960016,0.0011561485693731,3432.66,3433.25,3389.53,3396.73,5277,4.2,0,2,3,30,-0.0104671013150151,0.000171878368379,0.0021241883092935,631.5,631.8,625.03,625.07,1324,4.01,0,2,3,30,-0.0101821060965953,0.0004750593824227,6.399692814757261e-05,169.26,169.3,167.5,167.82,1519,3.0,0,2,3,30,-0.0085076214108472,0.000236322816968,0.0019104477611939,1.1839,1.1842,1.1585,1.1606,1881,0.003,0,2,3,30,-0.0196807162767124,0.0002533997803868,0.0018126888217522
46760.8,46832.26,46503.72,46653.26,3939,10.5,0,2,4,0,-0.0022997895673299,0.0015282031102974,0.0032156567259565,3396.73,3406.79,3380.02,3403.72,5721,4.2,0,2,4,0,0.0020578615315317,0.0009019543323188,0.0049437577292442,625.07,627.38,623.53,626.83,1354,4.05,0,2,4,0,0.0028156846433199,0.0008774308823763,0.0024698089907463,167.82,168.45,167.2,168.28,1324,3.0,0,2,4,0,0.0027410320581575,0.0010102210601377,0.0037081339712918,1.1606,1.1706,1.1564,1.1693,1689,0.003,0,2,4,0,0.0074961226951576,0.0011117762764047,0.0036319612590798
46653.26,46873.79,46535.38,46855.12,2743,10.5,0,2,4,30,0.0043268144605543,0.0003984623238612,0.0025331264083371,3403.95,3434.85,3386.75,3423.05,4506,4.2,0,2,4,30,0.0056111282480648,0.0034472181241874,0.0050786151915552,626.83,629.35,624.44,629.07,1294,4.05,0,2,4,30,0.0035735366845875,0.0004451014990382,0.0038274293767215,168.27,170.13,167.55,169.5,993,3.0,0,2,4,30,0.0073096808700302,0.003716814159292,0.004297224709042,1.1693,1.1777,1.1617,1.1742,1377,0.0027,0,2,4,30,0.0041905413495252,0.0029807528530063,0.0065421365240596
