Run ID,Batch Size,Number of Hidden Neurons,Response
0,60,10,1321.0765579004656
1,60,11,783.8773210779327
2,60,12,198.1624360630667
3,60,13,-436.0680971440888
4,61,10,1424.797628896864
5,61,11,952.8493487683882
6,61,12,432.38542044760834
7,61,13,-136.5941560654901
8,62,10,1467.6124581898039
9,62,11,1060.9151347553852
10,62,12,605.7021631286916
11,62,13,101.97354330966482
12,63,10,1449.5210457792564
13,63,11,1108.0746790389094
14,63,12,718.1126641062874
15,63,13,279.63500098133227
16,64,10,1370.5233916652505
17,64,11,1094.3279816189897
18,64,12,769.6169233804249
19,64,13,396.39021694954135
20,65,10,1230.6194958477863
21,65,11,1019.6750424956117
22,65,12,760.2149409511039
23,65,13,452.23919121430663
24,66,10,1029.8093583268637
25,66,11,884.1158616687317
26,66,12,689.9067168183101
27,66,13,447.18192377558444
28,67,10,768.0929791024682
29,67,11,687.6504391384224
30,67,12,558.6922509820724
31,67,13,381.21841463341843
32,68,10,445.4703581745998
33,68,11,430.2787749046256
34,68,12,366.57154344233277
35,68,13,254.3486637877504
36,69,10,61.9414955432876
37,69,11,112.00086896739958
38,69,12,113.54459419917839
39,69,13,66.57267123865313
