Run ID,Batch Size,Number of Hidden Neurons,Response
0,58,6,4113.276058753618
1,58,7,3926.1516784694213
2,58,8,3384.327318084095
3,58,9,2487.8029775976247
4,59,6,3876.073350122613
5,59,7,3772.676669911514
6,59,8,3314.5800095992854
7,59,9,2501.783369185905
8,60,6,3631.152235571004
9,60,7,3611.4832554329987
10,60,8,3237.1142951938564
11,60,9,2508.045354853577
12,61,6,3378.5127150987755
13,61,7,3442.571435033864
14,61,8,3151.9301748678154
15,61,9,2506.5889346006297
16,62,6,3118.154788705928
17,62,7,3265.9412087141136
18,62,8,3059.0276486211624
19,62,9,2497.414108427067
20,63,6,2850.0784563924644
21,63,7,3081.592576473744
22,63,8,2958.40671645389
23,63,9,2480.5208763328847
24,64,6,2574.283718158389
25,64,7,2889.5255383127624
26,64,8,2850.0673783659986
27,64,9,2455.9092383180905
28,65,6,2290.7705740036945
29,65,7,2689.7400942311615
30,65,8,2734.009634357488
31,65,9,2423.579194382677
32,66,6,1999.539023928388
33,66,7,2482.2362442289486
34,66,8,2610.2334844283723
35,66,9,2383.5307445266517
36,67,6,1700.5890679324511
37,67,7,2267.0139883061092
38,67,8,2478.7389285786303
39,67,9,2335.7638887499998
