Run ID,Batch Size,Number of Hidden Neurons,Response
0,60,10,73.52095506245905
1,60,11,83.28253394927401
2,60,12,82.67870274103598
3,60,13,71.70946143774552
4,61,10,72.92566875434318
5,61,11,83.91487406113197
6,61,12,84.53866927286822
7,61,13,74.79705438955159
8,62,10,71.92729797691368
9,62,11,84.14412970367675
10,62,12,85.99555133538706
11,62,13,77.48156287204449
12,63,10,70.52584273017101
13,63,11,83.97030087690814
14,63,12,87.04934892859228
15,63,13,79.762986885224
16,64,10,68.72130301411471
17,64,11,83.39338758082613
18,64,12,87.70006205248433
19,64,13,81.64132642908964
20,65,10,66.51367882874524
21,65,11,82.41338981543026
22,65,12,87.94769070706275
23,65,13,83.11658150364235
24,66,10,63.90297017406215
25,66,11,81.03030758072123
26,66,12,87.79223489232754
27,66,13,84.18875210888143
28,67,10,60.889177050065655
29,67,11,79.2441408766988
30,67,12,87.23369460827917
31,67,13,84.85783824480711
32,68,10,57.47229945675576
33,68,11,77.05488970336296
34,68,12,86.27206985491739
35,68,13,85.1238399114194
36,69,10,53.652337394132246
37,69,11,74.4625540607135
38,69,12,84.90736063224199
39,69,13,84.98675710871805
