Run ID,Batch Size,Number of Hidden Neurons,Response
0,60,10,59.90342330239259
1,60,11,57.64109889891761
2,60,12,54.9458483413274
3,60,13,51.81767162962199
4,61,10,59.97075707509851
5,61,11,57.90597427229745
6,61,12,55.408265315381165
7,61,13,52.47763020434966
8,62,10,59.99442905745366
9,62,11,58.127187855326525
10,62,12,55.82702049908417
11,62,13,53.093926988726565
12,63,10,59.97443924945806
13,63,11,58.30473964800484
14,63,12,56.20211389243639
15,63,13,53.66656198275274
16,64,10,59.91078765111169
17,64,11,58.43862965033239
18,64,12,56.53354549543786
19,64,13,54.19553518642812
20,65,10,59.80347426241454
21,65,11,58.52885786230917
22,65,12,56.82131530808857
23,65,13,54.680846599752726
24,66,10,59.65249908336665
25,66,11,58.57542428393518
26,66,12,57.065423330388484
27,66,13,55.122496222726596
28,67,10,59.457862113967984
29,67,11,58.57832891521044
30,67,12,57.26586956233768
31,67,13,55.52048405534969
32,68,10,59.21956335421857
33,68,11,58.53757175613493
34,68,12,57.422654003936096
35,68,13,55.87481009762201
36,69,10,58.93760280411836
37,69,11,58.45315280670865
38,69,12,57.53577665518372
39,69,13,56.18547434954359
