Run ID,Batch Size,Number of Hidden Neurons,Response
0,66,12,2905.653711220104
1,66,13,2811.4811569905723
2,66,14,2636.2585508685734
3,66,15,2379.9858928541653
4,67,12,2619.7997726104513
5,67,13,2560.9052410069853
6,67,14,2420.960657511081
7,67,15,2199.9660221227387
8,68,12,2390.540385211323
9,68,13,2366.923876233952
10,68,14,2262.2573153641424
11,68,15,2076.5407026018947
12,69,12,2217.875549022807
13,69,13,2229.5370626715594
14,69,14,2160.1485244278156
15,69,15,2009.7099342916626
16,70,12,2101.805264044815
17,70,13,2148.744800319633
18,70,14,2114.634284701984
19,70,15,1999.473717191926
20,71,12,2042.3295302773477
21,71,13,2124.5470891782606
22,71,14,2125.7145961867063
23,71,15,2045.8320513027138
24,72,12,2039.448347720463
25,72,13,2156.9439292474417
26,72,14,2193.389458881982
27,72,15,2148.7849366241135
28,73,12,2093.161716374103
29,73,13,2245.9353205272055
30,73,14,2317.6588727878116
31,73,15,2308.3323731560085
32,74,12,2203.4696362382965
33,74,13,2391.5212630174647
34,74,14,2498.5228379041655
35,74,15,2524.4743608984572
36,75,12,2370.3721073130437
37,75,13,2593.7017567183066
38,75,14,2735.981354231102
39,75,15,2797.2108998514886
