Run ID,Batch Size,Number of Hidden Neurons,Response
0,52,4,52.773728073435564
1,52,5,59.91521206361642
2,52,6,63.14122203981947
3,52,7,62.45175800204515
4,53,4,51.38831083873663
5,53,5,58.258494960219195
6,53,6,61.21320506772395
7,53,7,60.25244116125134
8,54,4,50.65525376530911
9,54,5,57.254138018093386
10,54,6,59.937548256899845
11,54,7,58.705484481728945
12,55,4,50.57455685315381
13,55,5,56.90214123723979
14,55,6,59.31425160734807
15,55,7,57.81088796347876
16,56,4,51.14622010227015
17,56,5,57.20250461765784
18,56,6,59.343315119067825
19,56,7,57.568651606500225
20,57,4,52.37024351265802
21,57,5,58.155228159347416
22,57,6,60.02473879205911
23,57,7,57.97877541079333
24,58,4,54.24662708431799
25,58,5,59.760311862309095
26,58,6,61.3585226263225
27,58,7,59.041259376358425
28,59,4,56.77537081724995
29,59,5,62.017755726542646
30,59,6,63.344666621857755
31,59,7,60.75610350319539
32,60,4,59.95647471145344
33,60,5,64.92755975204796
34,60,6,65.98317077866466
35,60,7,63.123307791304
36,61,4,63.7899387669288
37,61,5,68.48972393882491
38,61,6,69.27403509674343
39,61,7,66.14287224068448
