Run ID,Batch Size,Number of Hidden Neurons,Response
0,59,6,2367.8435601506935
1,59,7,2904.6946459110477
2,59,8,3186.7943619408034
3,59,9,3214.1427082399605
4,60,6,2178.9054810695743
5,60,7,2721.6987519231843
6,60,8,3009.740653046203
7,60,9,3043.031184438616
8,61,6,2017.4394972019145
9,61,7,2566.174953148773
10,61,8,2860.1590393650476
11,61,9,2899.3917558507164
12,62,6,1883.4456085476777
13,62,7,2438.1232495877994
14,62,8,2738.04952089733
15,62,9,2783.2244224762544
16,63,6,1776.9238151068785
17,63,7,2337.5436412402632
18,63,8,2643.4120976430495
19,63,9,2694.52918431523
20,64,6,1697.8741168795314
21,64,7,2264.436128106172
22,64,8,2576.246769602214
23,64,9,2633.3060413676576
24,65,6,1646.2965138656218
25,65,7,2218.8007101855183
26,65,8,2536.5535367748234
27,65,9,2599.5549936335156
28,66,6,1622.1910060651644
29,66,7,2200.6373874783094
30,66,8,2524.3323991608704
31,66,9,2593.2760411128256
32,67,6,1625.5575934781446
33,67,7,2209.9461599845454
34,67,8,2539.5833567603695
35,67,9,2614.4691838055733
36,68,6,1656.396276104555
37,68,7,2246.727027704219
38,68,8,2582.3064095732916
39,68,9,2663.1344217117585
