Run ID,Batch Size,Number of Hidden Neurons,Response
0,57,8,39.86664285900548
1,57,9,39.852378310694235
2,57,10,40.072582665629454
3,57,11,40.527255923811026
4,58,8,38.91341836318418
5,58,9,38.78561622356557
6,58,10,38.89228298719331
7,58,11,39.23341865406752
8,59,8,38.163003555335024
9,59,9,37.921663824408995
10,59,10,37.914792996729375
11,59,11,38.14239107229611
12,60,8,37.615398435458076
13,60,9,37.26052111322463
14,60,10,37.14011269423759
15,60,11,37.254173178496956
16,61,8,37.27060300355339
17,61,9,36.80218809001252
18,61,10,36.56824207971806
19,61,11,36.56876497267001
20,62,8,37.12861725962108
21,62,9,36.54666475477279
22,62,10,36.19918115317091
23,62,11,36.08616645481544
24,63,8,37.18944120366086
25,63,9,36.493951107505154
26,63,10,36.032929914595854
27,63,11,35.80637762493296
28,64,8,37.45307483567285
29,64,9,36.64404714820972
30,64,10,36.069488363993
31,64,11,35.72939848302275
32,65,8,37.9195181556571
33,65,9,36.99695287688655
34,65,10,36.30885650136247
35,65,11,35.85522902908474
36,66,8,38.58877116361356
37,66,9,37.552668293535646
38,66,10,36.75103432670409
39,66,11,36.18386926311899
