Run ID,Batch Size,Number of Hidden Neurons,Response
0,60,10,44.6302642161113
1,60,11,46.39155701105665
2,60,12,47.04849771749832
3,60,13,46.601086335435866
4,61,10,49.56142016041895
5,61,11,50.80385149706399
6,61,12,50.94193074520581
7,61,13,49.97565790484305
8,62,10,53.6781554246968
9,62,11,54.40172530304153
10,62,12,54.020943092883044
11,62,13,52.535808794219975
12,63,10,56.980470008943485
13,63,11,57.18517842898791
14,63,12,56.28553476052912
15,63,13,54.281539003566195
16,64,10,59.46836391316083
17,64,11,59.1542108749054
18,64,12,57.7357057481463
19,64,13,55.21284853288262
20,65,10,61.141837137347466
21,65,11,60.30882264079173
22,65,12,58.37145605573278
23,65,13,55.32973738216924
24,66,10,62.00088968150385
25,66,11,60.64901372664826
26,66,12,58.19278568328855
27,66,13,54.632205551424704
28,67,10,62.04552154563089
29,67,11,60.17478413247454
30,67,12,57.199694630814975
31,67,13,53.12025304065082
32,68,10,61.275732729727224
33,68,11,58.88613385827102
34,68,12,55.39218289831115
35,68,13,50.79387984984669
36,69,10,59.69152323379285
37,69,11,56.78306290403634
38,69,12,52.770250485776614
39,69,13,47.65308597901185
