Run ID,Batch Size,Number of Hidden Neurons,Response
0,60,10,54.63974003880162
1,60,11,353.4636468431771
2,60,12,581.1172653723502
3,60,13,737.6005956263189
4,61,10,37.48093671228003
5,61,11,339.7600127262202
6,61,12,570.868800464958
7,61,13,730.8072999284896
8,62,10,22.654624722120616
9,62,11,328.3888699456237
10,62,12,562.9528268939243
11,62,13,726.3464955670206
12,63,10,10.160804068322477
13,63,11,319.3502185013921
14,63,12,557.3693446592556
15,63,13,724.2181825419166
16,64,10,-0.0005252491152987204
17,64,11,312.6440583935172
18,64,12,554.1183537609454
19,64,13,724.4223608531693
20,65,10,-7.829363230191802
21,65,11,308.27038962200356
22,65,12,553.1998541989965
23,65,13,726.9590305007832
24,66,10,-13.325709874907943
25,66,11,306.22921218685394
26,66,12,554.6138459734098
27,66,13,731.8281914847612
28,67,10,-16.489565183262812
29,67,11,306.52052608806196
30,67,12,558.3603290841806
31,67,13,739.0298438050968
32,68,10,-17.320929155259137
33,68,11,309.14433132563033
34,68,12,564.4393035313137
35,68,13,748.5639874617927
36,69,10,-15.81980179089237
37,69,11,314.10062789956
38,69,12,572.8507693148081
39,69,13,760.4306224548518
