Run ID,Batch Size,Number of Hidden Neurons,Response
0,56,8,59.382348911108124
1,56,9,65.56013793480156
2,56,10,68.5506956881112
3,56,11,68.35402217103729
4,57,8,62.23211796622013
5,57,9,68.04779250308957
6,57,10,70.67623576957521
7,57,11,70.11744776567718
8,58,8,64.8846825058987
9,58,9,70.33824255594402
10,58,10,72.60457133560567
11,58,11,71.68366884488353
12,59,8,67.34004253014348
13,59,9,72.4314880933648
14,59,10,74.33570238620234
15,59,11,73.0526854086562
16,60,8,69.59819803895482
17,60,9,74.32752911535215
18,60,10,75.86962892136569
19,60,11,74.22449745699544
20,61,8,71.6591490323325
21,61,9,76.02636562190571
22,61,10,77.20635094109514
23,61,11,75.19910498990089
24,62,8,73.52289551027684
25,62,9,77.52799761302606
26,62,10,78.34586844539149
27,62,11,75.97650800737313
28,63,8,75.18943747278752
29,63,9,78.83242508871263
30,63,10,79.28818143425394
31,63,11,76.55670650941158
32,64,8,76.65877491986441
33,64,9,79.93964804896552
34,64,10,80.03328990768284
35,64,11,76.93970049601637
36,65,8,77.93090785150787
37,65,9,80.84966649378498
38,65,10,80.5811938656783
39,65,11,77.12548996718772
