Run ID,Batch Size,Number of Hidden Neurons,Response
0,58,8,55.166048673128216
1,58,9,55.74513321443624
2,58,10,57.78765512461223
3,58,11,61.29361440365528
4,59,8,57.69698326075786
5,59,9,58.37240822721151
6,59,10,60.51127056253313
7,59,11,64.11357026672181
8,60,8,59.58270382700266
9,60,9,60.35446921860216
10,60,10,62.58967197906918
11,60,11,66.28831210840372
12,61,8,60.82321037186398
13,61,9,61.69131618860911
14,61,10,64.02285937422198
15,61,11,67.81783992870214
16,62,8,61.41850289534091
17,62,9,62.38294913723166
18,62,10,64.81083274799016
19,62,11,68.70215372761595
20,63,8,61.368581397433445
21,63,9,62.429368064470054
22,63,10,64.95359210037418
23,63,11,68.9412535051456
24,64,8,60.6734458781425
25,64,9,61.83057297032451
26,64,10,64.45113743137426
27,64,11,68.5351392612913
28,65,8,59.33309633746717
29,65,9,60.586563854794804
30,65,10,63.30346874099018
31,65,11,67.48381099605308
32,66,8,57.34753277540722
33,66,9,58.69734071788048
34,66,10,61.51058602922171
35,66,11,65.78726870943001
36,67,8,54.716755191963784
37,67,9,56.1629035595829
38,67,10,59.072489296069534
39,67,11,63.445512401423684
